Value,en,Disaggregation combinations using this value,Number of indicators
Proportion of children 0-17 years who are deprived in various poverty dimension [1.2.2],Proportion of children 0-17 years who are deprived in various poverty dimension [1.2.2],8,1
Proportion of children moderately or severely overweight [2.2.2],Proportion of children moderately or severely overweight [2.2.2],2,1
Proportion of children moderately or severely wasted [2.2.2],Proportion of children moderately or severely wasted [2.2.2],2,1
Proportion of children underweight,Proportion of children underweight,2,1
Proportion of children who are developmentally on track in learning,Proportion of children who are developmentally on track in learning,3,1
Proportion of children who are developmentally on track in literacy-numeracy,Proportion of children who are developmentally on track in literacy-numeracy,3,1
Proportion of children who are developmentally on track in physical development,Proportion of children who are developmentally on track in physical development,3,1
Proportion of children who are developmentally on track in social-emotional development,Proportion of children who are developmentally on track in social-emotional development,3,1
Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],1,1
Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],1,1
Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],2,1
Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],3,1
Proportion of individuals who own a mobile telephone [5.b.1],Proportion of individuals who own a mobile telephone [5.b.1],5,1
Proportion of individuals who use a mobile telephone [5.b.1],Proportion of individuals who use a mobile telephone [5.b.1],5,1
Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],153,1
Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],153,1
Proportion of population covered by at least a 2G mobile network [9.c.1],Proportion of population covered by at least a 2G mobile network [9.c.1],1,1
Proportion of population covered by at least a 3G mobile network [9.c.1],Proportion of population covered by at least a 3G mobile network [9.c.1],1,1
Proportion of population covered by at least a 4G mobile network [9.c.1],Proportion of population covered by at least a 4G mobile network [9.c.1],1,1
Proportion of population living in multidimensional poverty [1.2.2],Proportion of population living in multidimensional poverty [1.2.2],6,1
Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Proportion of population subjected to economic violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Proportion of population subjected to physical violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],2,1
Proportion of population subjected to social violence in the previous 12 months [16.1.3],Proportion of population subjected to social violence in the previous 12 months [16.1.3],2,1
Proportion of population using handwashing facility with soap and water,Proportion of population using handwashing facility with soap and water,1,1
Proportion of population using safely managed sanitation services [6.2.1],Proportion of population using safely managed sanitation services [6.2.1],3,1
Proportion of schools with access to basic drinking water [4.a.1],Proportion of schools with access to basic drinking water [4.a.1],2,1
Proportion of schools with access to electricity [4.a.1],Proportion of schools with access to electricity [4.a.1],2,1
Proportion of schools with access to toilet facilities,Proportion of schools with access to toilet facilities,2,1
Proportion of schools with access to urinals,Proportion of schools with access to urinals,2,1
Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],1,1
Proportion of urban population living in slums [11.1.1],Proportion of urban population living in slums [11.1.1],1,1
Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],1,1
Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],1,1
"Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)","Proportion of women among Metropolitan, Municipal, and District Chief Executives (MMDCES)",1,1
Proportion with access to affordable healthcare under National Health Insurance Scheme (NHIS),Proportion with access to affordable healthcare under National Health Insurance Scheme (NHIS),1,1
"Rate of new HIV infections per 1,000 uninfected population [3.3.1]","Rate of new HIV infections per 1,000 uninfected population [3.3.1]",1,1
Survey-based Maternal mortality ratio [3.1.1],Survey-based Maternal mortality ratio [3.1.1],1,1
Total Beneficiaries of Free Senior High School Programme (FSHSP),Total Beneficiaries of Free Senior High School Programme (FSHSP),1,1
Urban population living in slums (number) [11.1.1],Urban population living in slums (number) [11.1.1],1,1
