Year,SDG Series,Reference area,Sex,Degree of urbanisation,Value
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,Rural,14.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,Rural,15.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,Rural,13.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,,24.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,,25.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,,23.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,Urban,35.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,Urban,35.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,Urban,35.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,Rural,14.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,Rural,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,Rural,12.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,,6.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,,7.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,,5.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,Urban,13.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,Urban,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,Urban,12.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,Rural,4.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,Rural,5.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,Rural,4.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,,15.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,,16.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,,14.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,Urban,20.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,Urban,20.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,Urban,19.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,Rural,14.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,Rural,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,Rural,13.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,,15.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,,16.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,,14.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,Urban,18.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,Urban,19.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,Urban,16.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,Rural,14.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,Rural,15.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,Rural,13.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,,26.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,,27.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,,24.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,Urban,27.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,Urban,28.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,Urban,25.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,Rural,26.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,Rural,27.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,Rural,23.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,,29.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,,30.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,,26.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,Urban,24.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,Urban,25.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,Urban,21.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,Rural,32.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,Rural,33.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,Rural,29.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,,14.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,,15.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,,12.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,Urban,17.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,Urban,19.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,Urban,15.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,Rural,11.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,Rural,12.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,Rural,9.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,,6.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,,6.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,,7.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,Urban,10.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,Urban,10.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,Urban,10.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,Rural,5.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,Rural,5.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,Rural,5.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,,6.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,,5.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,Urban,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,Urban,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,Urban,6.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,Rural,6.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,Rural,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,Rural,5.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,,3.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,,1.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,Urban,4.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,Urban,4.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,Urban,4.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,Rural,2.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,Rural,2.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,Rural,1.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,,2.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,,1.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,Urban,2.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,Urban,2.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,Urban,3.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,Rural,1.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,Rural,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,Rural,0.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,,1.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,,1.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,,0.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,Urban,2.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,Urban,3.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,Urban,1.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,Rural,1.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,Rural,1.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,Rural,0.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,,3.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,Urban,8.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,Urban,9.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,Urban,5.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,Rural,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,Rural,2.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,Rural,1.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,,3.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,,3.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,,3.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,Urban,13.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,Urban,13.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,Urban,14.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,Rural,2.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,Rural,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,Rural,1.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,,67.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,,67.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,,68.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,Urban,59.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,Urban,58.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,Urban,61.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,Rural,69.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,Rural,69.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,Rural,70.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,,61.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,,61.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,,63.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,Urban,53.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,Urban,52.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,Urban,55.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,Rural,63.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,Rural,62.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,Rural,65.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,,53.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,,52.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,,55.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,Urban,50.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,Urban,48.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,Urban,53.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,Rural,54.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,Rural,53.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,Rural,56.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,,47.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,,45.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,,51.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,Urban,46.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,Urban,45.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,Urban,52.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,Rural,48.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,Rural,46.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,Rural,51.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,,64.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,,62.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,,68.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,Urban,43.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,Urban,41.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,Urban,47.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,Rural,70.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,Rural,68.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,Rural,72.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,,48.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,,46.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,,53.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,Urban,49.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,Urban,47.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,Urban,56.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,Rural,48.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,Rural,46.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,Rural,52.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,,59.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,,54.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,,67.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,Urban,53.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,Urban,48.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,Urban,61.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,Rural,60.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,Rural,56.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,Rural,69.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,,69.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,,67.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,,74.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,Urban,72.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,Urban,70.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,Urban,75.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,Rural,68.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,Rural,67.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,Rural,73.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,,42.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,,39.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,,51.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,Urban,48.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,Urban,44.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,Urban,55.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,Rural,39.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,Rural,36.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,Rural,47.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,,72.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,,68.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,,80.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,Urban,71.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,Urban,68.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,Urban,76.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,Rural,73.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,Rural,68.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,Rural,84.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,,67.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,,64.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,,75.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,Urban,62.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,Urban,60.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,Urban,70.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,Rural,69.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,Rural,66.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,Rural,77.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,,60.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,,61.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,,57.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,Urban,55.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,Urban,56.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,Urban,49.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,Rural,61.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,Rural,62.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,Rural,59.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,,90.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,,91.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,,82.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,Urban,83.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,Urban,84.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,Urban,69.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,Rural,92.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,Rural,93.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,Rural,83.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,,97.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,,98.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,,96.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,Urban,94.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,Urban,95.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,Urban,90.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,Rural,98.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,Rural,98.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,Rural,96.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,,89.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,,91.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,,76.1
