Year,SERIES,Reference area,GeoCode,Value
2009,Institutional maternal mortality ratio,Volta,04_o,146.0
2010,Institutional maternal mortality ratio,Volta,04_o,210.0
2011,Institutional maternal mortality ratio,Volta,04_o,201.0
2012,Institutional maternal mortality ratio,Volta,04_o,175.0
2013,Institutional maternal mortality ratio,Volta,04_o,161.0
2014,Institutional maternal mortality ratio,Volta,04_o,179.0
2015,Institutional maternal mortality ratio,Volta,04_o,134.0
2008,Institutional maternal mortality ratio,Western,01_o,270.0
2009,Institutional maternal mortality ratio,Western,01_o,148.0
2010,Institutional maternal mortality ratio,Western,01_o,176.0
2011,Institutional maternal mortality ratio,Western,01_o,114.0
2012,Institutional maternal mortality ratio,Western,01_o,132.0
2013,Institutional maternal mortality ratio,Western,01_o,153.0
2014,Institutional maternal mortality ratio,Western,01_o,150.0
2015,Institutional maternal mortality ratio,Western,01_o,125.0
