Year,SERIES,Reference area,Sex,Degree of urbanisation,GeoCode,Value
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,Rural,2,14.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,Rural,2,15.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,Rural,2,13.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,,3,24.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,,3,25.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,,3,23.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,Urban,3,35.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,Urban,3,35.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,Urban,3,35.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,,Rural,3,14.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Male,Rural,3,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Greater Accra,Female,Rural,3,12.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,,4,6.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,,4,7.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,,4,5.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,Urban,4,13.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,Urban,4,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,Urban,4,12.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,,Rural,4,4.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Male,Rural,4,5.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Volta,Female,Rural,4,4.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,,5,15.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,,5,16.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,,5,14.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,Urban,5,20.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,Urban,5,20.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,Urban,5,19.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,,Rural,5,14.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Male,Rural,5,14.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Eastern,Female,Rural,5,13.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,,6,15.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,,6,16.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,,6,14.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,Urban,6,18.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,Urban,6,19.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,Urban,6,16.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,,Rural,6,14.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Male,Rural,6,15.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ashanti,Female,Rural,6,13.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,,7,26.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,,7,27.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,,7,24.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,Urban,7,27.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,Urban,7,28.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,Urban,7,25.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,,Rural,7,26.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Male,Rural,7,27.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western North,Female,Rural,7,23.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,,8,29.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,,8,30.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,,8,26.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,Urban,8,24.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,Urban,8,25.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,Urban,8,21.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,,Rural,8,32.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Male,Rural,8,33.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Ahafo,Female,Rural,8,29.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,,9,14.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,,9,15.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,,9,12.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,Urban,9,17.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,Urban,9,19.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,Urban,9,15.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,,Rural,9,11.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Male,Rural,9,12.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono,Female,Rural,9,9.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,,10,6.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,,10,6.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,,10,7.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,Urban,10,10.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,Urban,10,10.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,Urban,10,10.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,,Rural,10,5.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Male,Rural,10,5.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Bono East,Female,Rural,10,5.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,,11,6.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,,11,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,,11,5.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,Urban,11,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,Urban,11,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,Urban,11,6.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,,Rural,11,6.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Male,Rural,11,6.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Oti,Female,Rural,11,5.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,,12,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,,12,3.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,,12,1.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,Urban,12,4.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,Urban,12,4.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,Urban,12,4.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,,Rural,12,2.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Male,Rural,12,2.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Northern,Female,Rural,12,1.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,,13,2.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,,13,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,,13,1.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,Urban,13,2.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,Urban,13,2.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,Urban,13,3.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,,Rural,13,1.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Male,Rural,13,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Savannah,Female,Rural,13,0.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,,14,1.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,,14,1.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,,14,0.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,Urban,14,2.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,Urban,14,3.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,Urban,14,1.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,,Rural,14,1.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Male,Rural,14,1.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],North East,Female,Rural,14,0.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,,15,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,,15,3.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,,15,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,Urban,15,8.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,Urban,15,9.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,Urban,15,5.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,,Rural,15,2.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Male,Rural,15,2.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper East,Female,Rural,15,1.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,,16,3.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,,16,3.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,,16,3.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,Urban,16,13.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,Urban,16,13.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,Urban,16,14.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,,Rural,16,2.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Male,Rural,16,2.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Upper West,Female,Rural,16,1.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,,,67.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,,,67.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,,,68.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,Urban,,59.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,Urban,,58.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,Urban,,61.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,,Rural,,69.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Male,Rural,,69.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],,Female,Rural,,70.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,,1,61.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,,1,61.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,,1,63.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,Urban,1,53.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,Urban,1,52.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,Urban,1,55.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,,Rural,1,63.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Male,Rural,1,62.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western,Female,Rural,1,65.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,,2,53.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,,2,52.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,,2,55.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,Urban,2,50.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,Urban,2,48.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,Urban,2,53.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,,Rural,2,54.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Male,Rural,2,53.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Central,Female,Rural,2,56.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,,3,47.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,,3,45.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,,3,51.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,Urban,3,46.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,Urban,3,45.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,Urban,3,52.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,,Rural,3,48.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Male,Rural,3,46.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Greater Accra,Female,Rural,3,51.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,,4,64.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,,4,62.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,,4,68.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,Urban,4,43.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,Urban,4,41.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,Urban,4,47.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,,Rural,4,70.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Male,Rural,4,68.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Volta,Female,Rural,4,72.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,,5,48.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,,5,46.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,,5,53.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,Urban,5,49.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,Urban,5,47.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,Urban,5,56.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,,Rural,5,48.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Male,Rural,5,46.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Eastern,Female,Rural,5,52.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,,6,59.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,,6,54.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,,6,67.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,Urban,6,53.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,Urban,6,48.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,Urban,6,61.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,,Rural,6,60.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Male,Rural,6,56.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ashanti,Female,Rural,6,69.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,,7,69.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,,7,67.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,,7,74.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,Urban,7,72.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,Urban,7,70.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,Urban,7,75.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,,Rural,7,68.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Male,Rural,7,67.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Western North,Female,Rural,7,73.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,,8,42.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,,8,39.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,,8,51.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,Urban,8,48.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,Urban,8,44.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,Urban,8,55.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,,Rural,8,39.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Male,Rural,8,36.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Ahafo,Female,Rural,8,47.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,,9,72.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,,9,68.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,,9,80.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,Urban,9,71.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,Urban,9,68.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,Urban,9,76.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,,Rural,9,73.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Male,Rural,9,68.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono,Female,Rural,9,84.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,,10,67.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,,10,64.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,,10,75.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,Urban,10,62.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,Urban,10,60.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,Urban,10,70.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,,Rural,10,69.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Male,Rural,10,66.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Bono East,Female,Rural,10,77.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,,11,60.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,,11,61.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,,11,57.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,Urban,11,55.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,Urban,11,56.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,Urban,11,49.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,,Rural,11,61.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Male,Rural,11,62.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Oti,Female,Rural,11,59.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,,12,90.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,,12,91.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,,12,82.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,Urban,12,83.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,Urban,12,84.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,Urban,12,69.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,,Rural,12,92.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Male,Rural,12,93.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Northern,Female,Rural,12,83.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,,13,97.7
