Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Government of Ghana,Ghana Cedi,273.92
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,2.3
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Other Fund,Ghana Cedi,66.75
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Statutory,Ghana Cedi,34.1
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),Development Partner,Ghana Cedi,6.54
2019,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Ghana Cedi,383.61
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Government of Ghana,Percent,71.4
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Internally Generated Funds,Percent,0.6
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Other Fund,Percent,17.4
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Statutory,Percent,8.9
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,Development Partner,Percent,1.7
2019,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Percent,100.0
