Year,SERIES,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,Value
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Primary 4,Skill: Functional literacy,16.0
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Primary 6,Skill: Functional literacy,45.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Primary 6,Skill: Functional literacy,47.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Primary 6,Skill: Functional literacy,43.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Lower secondary education,Skill: Functional literacy,57.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Lower secondary education,Skill: Functional literacy,54.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Lower secondary education,Skill: Functional literacy,60.0
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Primary 4,Skill: Functional numeracy,15.6
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Primary 4,Skill: Functional numeracy,16.4
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Primary 4,Skill: Functional numeracy,14.8
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Primary 6,Skill: Functional numeracy,31.1
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Primary 6,Skill: Functional numeracy,36.6
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Primary 6,Skill: Functional numeracy,25.5
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Lower secondary education,Skill: Functional numeracy,38.0
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Lower secondary education,Skill: Functional numeracy,38.1
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Female,,Lower secondary education,Skill: Functional numeracy,37.9
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,Skill: Mathematics,76.3
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,Skill: Mathematics,76.8
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,Skill: Mathematics,76.4
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,Skill: Mathematics,76.1
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,Skill: Mathematics,78.3
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,Skill: Mathematics,78.7
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,Skill: Mathematics,78.0
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,Skill: Mathematics,77.2
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,Skill: Mathematics,74.3
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,Skill: Mathematics,74.9
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,Skill: Mathematics,74.7
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,Skill: Mathematics,74.9
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,English,75.6
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,English,76.8
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,English,75.8
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),,,Lower secondary education,English,76.2
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,English,75.2
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,English,76.2
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,English,75.2
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),Male,,Lower secondary education,English,75.0
2016,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,English,76.0
2017,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,English,77.4
2018,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,English,76.4
2019,Proportion of pupils in JHS that passed Mathematics and English (Percent),Female,,Lower secondary education,English,77.5
